Designator,Mid X,Mid Y,Rotation,Layer
C1,135.921992,-71.018008,45.0,top
C10,131.13,-82.165,270.0,top
C11,132.0,-69.795,90.0,top
C12,127.42,-67.615,90.0,top
C13,122.4,-58.92,0.0,top
C14,118.69,-62.58,180.0,top
C15,123.71,-85.295,270.0,top
C16,129.5,-85.275,90.0,top
C17,124.25,-65.13,180.0,top
C18,140.62,-93.39,180.0,top
C19,119.22,-91.23,90.0,top
C2,129.53,-82.155,270.0,top
C3,122.095,-76.64,180.0,top
C4,123.125,-71.69,180.0,top
C5,132.13,-65.365,90.0,top
C6,130.57,-66.185,90.0,top
C7,133.55,-71.035,90.0,top
C8,134.195,-73.3,0.0,top
C9,135.695,-76.6,0.0,top
D2,115.45,-92.35,0.0,top
J1,128.5,-52.5,180.0,top
J2,104.61,-75.5,0.0,top
J3,152.39,-75.5,0.0,top
J4,128.5,-99.39,90.0,top
R1,126.77,-59.435,270.0,top
R10,136.45,-91.145,90.0,top
R11,119.87,-93.57,180.0,top
R2,130.53,-59.425,270.0,top
R3,128.94,-69.625,270.0,top
R4,130.46,-69.625,270.0,top
R5,127.22,-82.5,180.0,top
R6,117.975,-65.15,0.0,top
R7,121.205,-65.12,180.0,top
R8,142.37,-91.82,0.0,top
R9,142.37,-90.25,180.0,top
SW1,117.92,-69.35,90.0,top
U1,128.5,-75.5,90.0,top
U2,118.72,-59.58,270.0,top
U3,122.825,-67.25,0.0,top
U4,139.1375,-90.98,0.0,top
Y1,126.6,-85.35,180.0,top
